HolderAddress,Balance,PendingBalanceUpdate
0x026abbf368f0447d165f45f8f1c7c4ca327b8127,100,No
0x026b4ad7be963a2f7b9550ef6700ec44462bc654,50000,No
0x026b899b1956ed1e97401cb575c91c983755a1ff,192212.857,No
0x02701c43d16ce142ccc9ae50716b770a9b373fd6,100,No
0x0273455cb713707fd3eb2323531aa2ed04e21b94,611.859583,No
0x02774862f4ba6a0934b743c30652ffc5f84015fe,100,No
0x0279e9cfbee0f2459dfae46e54c6fc6637ec37a4,2,No
0x027f99baa9e28154a806b02ca57cace1a35e62c0,100,No
0x028094078807595362bcd4011727f75de29dc45a,1.00E-07,No
0x0280bfd41f8084d00109f65515ec68cca7270f50,1801.945978,No
0x0284acdaaceb84972fb8b7d7b73297698a512d0e,5193.705,No
0x02880437f5f4107b460fc32c56b3b1744f6af2c1,249.975,No
0x028a688e889ac1ec6e32b173156de63b711b1f71,100,No
0x028bed4dd2bf0f072e8d7425cbeb3ba8da0e3406,1.00E-07,No
0x028c530ea3f4c6d79b4dc2250dcd2a96fed2b847,2733.078,No
0x028c7c119a25e8ede4022f256fafff46a71c197f,12601.75259,No
0x02916ea50276febc9941800ec8fbac31d434ed15,1.00E-07,No
0x02918ea2ed183f94118124fa99be62e085bdc0d7,1.00E-08,No
0x02930beb3d4dc55deb65c61e246fd5e6d7607949,1.00E-07,No
0x02933fd1f9c31c72575a357eef89f4a58f72aa3a,10,No
0x02985e50940e4b9f8a1e60835a62de688b256eec,2785.313,No
0x0298a8b6cd82146253b483b777f5a3cb903daeef,2352.710532,No
0x02a16056ccdf482a44f4136a2d1b88d78e30b73d,20929,No
0x02a19e972a86925418988d5f9a0a3b86b941ec3f,100,No
0x02a22500d1be6f8a17557a1d44233d44d8090721,2.45,No
0x02a2fb2a418ec05d558d5b06dcade635b807df9b,100,No
0x02a3c1a3340df04d178dea43403209ecd4e5549e,1.00E-18,No
0x02a4635f241b4f4dcdd2aab783f96bb025261a06,1.00E-07,No
0x02a82e159076d01cb657d0b2a66b699e5a7d5ba9,0.00518,No
0x02aee9a3b93f8edfea3a86f4148c5e40366aec85,100,No
0x02b3396e23696585819334565dc2efba35a0e4ff,9880.062,No
0x02b5549e658367d53e22b3192271f1c353f0ed11,4974,No
0x02b672bc284453f2d9d4aa55a16bc5ab411deb1e,100,No
0x02ba1496c2be294c2ab1e686d3b6b8548598c448,1167.028,No
0x02bf093e920a3fcc6701f13e0b67d1bf22ae16c8,5112.01752,No
0x02c1652b3bf08fa9d3e1413539f11a26debe297b,1.00E-07,No
0x02c3cba2e8e236d1b0c4fb2d95deec857e5091ff,10,No
0x02c5565d7b93b62a0f3168a72ac12f3c248e059e,7210.758,No
0x02c73fe014408532b70170b6e06ea7d506f0ada8,999.975,No
0x02c949ccd3540527711edc8417972e0d292bacb5,100,No
0x02cd1da05a51885feaf94b7f32e7f3f28d8d6d4b,1191975.282,No
0x02cd5d2937211a20aa41346b666b98ff236b9a5b,2550,No
0x02cff810155ed06e4e48a2285def7a09b3525ff1,1000,No
0x02d3761dceeceab36c08de82b4dde0b26b25c26f,108659.176,No
0x02da58bca3614acf0c7d83cd3bf8c9b8b5642341,124,No
0x02dcf4cf0ae241bc94ebfa34d0114d9ee163af46,23315,No
0x02dfd2f123c561ef16156f3334bb4839d446dfea,1487,No
0x02e12f83b2eaa3b018f79b830642a23144e72457,100,No
0x02e2546e7da640b214b4ceb0eee6a70cd5d6960a,5,No
0x02e50ae85ca253f31f0084afb3764e0c0300468a,10457.39111,No
0x02e8834377f1b1b85b0f78022a4c0420f085e37e,921.4355664,No
0x02ec3f864e6299a2e63ddca11c4c28943d97063a,100,No
0x02f1e79e6966464dff56779b47f1990b3fe10777,9431.08,No
0x02f2c5ad418498baac13be9646880dd1d64aef39,674.8362958,No
0x02f407e2c87a479692c6b496729e2e04fa50676e,3536.89196,No
0x02f5380b4647dc54f21ebcfef0d4a628d85b587c,10202.14458,No
0x02fcbc4968a39eeb56bef6b24663befb22cd9d22,5217.77992,No
0x02feee330e3de48b5490d09a626db6c9ed4e99c0,100,No
0x0301a066564a149132b9db765e9864100dad2b02,11443.11138,No
0x03035ca5ba89bfc09238cb4a7a4ba3906d7a7acf,10,No
0x0303999a2ad9ff17912d68b68d778ebabd4829fa,16,No
0x0305a835ff4cf722fa44bf3493881b754b89d872,0.803,No
0x03072953c1fbf0105fc7a622503fac5bc1f93cae,20,No
0x0308c004bed4f219c8fbc391a953e73e36d15bd8,100,No
0x030ec71929c851ef78cb9bffb9c2600a9667b0b5,0.1,No
0x030f5ee9e33b28b031caf90e011f9647404236ad,3603.381,No
0x0314245ee8f0c7462e0bf8cb75bcae3f1723b8a1,27194.129,No
